"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Cycling, mountain bike, bmx",502,598,695,791,1.75072971940299
"Cycling, <10 mph, leisure bicycling",236,281,327,372,0.823235629850746
"Cycling, >20 mph, racing",944,1126,1308,1489,3.29497352835821
"Cycling, 10-11.9 mph, light",354,422,490,558,1.23485344477612
"Cycling, 12-13.9 mph, moderate",472,563,654,745,1.64782526567164
"Cycling, 14-15.9 mph, vigorous",590,704,817,931,2.05944308059702
"Cycling, 16-19 mph, very fast, racing",708,844,981,1117,2.47106089552239
Unicycling,295,352,409,465,1.02972154029851
"Stationary cycling, very light",177,211,245,279,0.61742672238806
"Stationary cycling, light",325,387,449,512,1.13262599402985
"Stationary cycling, moderate",413,493,572,651,1.44133935522388
"Stationary cycling, vigorous",620,739,858,977,2.16234753432836
"Stationary cycling, very vigorous",738,880,1022,1163,2.57464235223881
"Calisthenics, vigorous, pushups, situps…",472,563,654,745,1.64782526567164
"Calisthenics, light",207,246,286,326,0.721008179104478
"Circuit training, minimal rest",472,563,654,745,1.64782526567164
"Weight lifting, body building, vigorous",354,422,490,558,1.23485344477612
"Weight lifting, light workout",177,211,245,279,0.61742672238806
Health club exercise,325,387,449,512,1.13262599402985
Stair machine,531,633,735,838,1.85295717014925
"Rowing machine, light",207,246,286,326,0.721008179104478
"Rowing machine, moderate",413,493,572,651,1.44133935522388
"Rowing machine, vigorous",502,598,695,791,1.75072971940299
"Rowing machine, very vigorous",708,844,981,1117,2.47106089552239
Ski machine,413,493,572,651,1.44133935522388
"Aerobics, low impact",295,352,409,465,1.02972154029851
"Aerobics, high impact",413,493,572,651,1.44133935522388
"Aerobics, step aerobics",502,598,695,791,1.75072971940299
"Aerobics, general",384,457,531,605,1.33843490149254
Jazzercise,354,422,490,558,1.23485344477612
"Stretching, hatha yoga",236,281,327,372,0.823235629850746
Mild stretching,148,176,204,233,0.515199271641791
Instructing aerobic class,354,422,490,558,1.23485344477612
Water aerobics,236,281,327,372,0.823235629850746
"Ballet, twist, jazz, tap",266,317,368,419,0.927494089552239
"Ballroom dancing, slow",177,211,245,279,0.61742672238806
"Ballroom dancing, fast",325,387,449,512,1.13262599402985
"Running, 5 mph (12 minute mile)",472,563,654,745,1.64782526567164
"Running, 5.2 mph (11.5 minute mile)",531,633,735,838,1.85295717014925
"Running, 6 mph (10 min mile)",590,704,817,931,2.05944308059702
"Running, 6.7 mph (9 min mile)",649,774,899,1024,2.2652519880597
"Running, 7 mph (8.5 min mile)",679,809,940,1070,2.36815644179104
"Running, 7.5mph (8 min mile)",738,880,1022,1163,2.57464235223881
"Running, 8 mph (7.5 min mile)",797,950,1103,1256,2.77977425671642
"Running, 8.6 mph (7 min mile)",826,985,1144,1303,2.88267871044776
"Running, 9 mph (6.5 min mile)",885,1056,1226,1396,3.08916462089552
"Running, 10 mph (6 min mile)",944,1126,1308,1489,3.29497352835821
"Running, 10.9 mph (5.5 min mile)",1062,1267,1471,1675,3.70659134328358
"Running, cross country",531,633,735,838,1.85295717014925
"Running, general",472,563,654,745,1.64782526567164
"Running, on a track, team practice",590,704,817,931,2.05944308059702
"Running, stairs, up",885,1056,1226,1396,3.08916462089552
"Track and field (shot, discus)",236,281,327,372,0.823235629850746
"Track and field (high jump, pole vault)",354,422,490,558,1.23485344477612
Track and field (hurdles),590,704,817,931,2.05944308059702
Archery,207,246,286,326,0.721008179104478
Badminton,266,317,368,419,0.927494089552239
"Basketball game, competitive",472,563,654,745,1.64782526567164
"Playing basketball, non game",354,422,490,558,1.23485344477612
"Basketball, officiating",413,493,572,651,1.44133935522388
"Basketball, shooting baskets",266,317,368,419,0.927494089552239
"Basketball, wheelchair",384,457,531,605,1.33843490149254
"Running, training, pushing wheelchair",472,563,654,745,1.64782526567164
Billiards,148,176,204,233,0.515199271641791
Bowling,177,211,245,279,0.61742672238806
"Boxing, in ring",708,844,981,1117,2.47106089552239
"Boxing, punching bag",354,422,490,558,1.23485344477612
"Boxing, sparring",531,633,735,838,1.85295717014925
"Coaching: football, basketball, soccer…",236,281,327,372,0.823235629850746
"Cricket (batting, bowling)",295,352,409,465,1.02972154029851
Croquet,148,176,204,233,0.515199271641791
Curling,236,281,327,372,0.823235629850746
Darts (wall or lawn),148,176,204,233,0.515199271641791
Fencing,354,422,490,558,1.23485344477612
"Football, competitive",531,633,735,838,1.85295717014925
"Football, touch, flag, general",472,563,654,745,1.64782526567164
"Football or baseball, playing catch",148,176,204,233,0.515199271641791
"Frisbee playing, general",177,211,245,279,0.61742672238806
"Frisbee, ultimate frisbee",472,563,654,745,1.64782526567164
"Golf, general",266,317,368,419,0.927494089552239
"Golf, walking and carrying clubs",266,317,368,419,0.927494089552239
"Golf, driving range",177,211,245,279,0.61742672238806
"Golf, miniature golf",177,211,245,279,0.61742672238806
"Golf, walking and pulling clubs",254,303,351,400,0.885519904477612
"Golf, using power cart",207,246,286,326,0.721008179104478
Gymnastics,236,281,327,372,0.823235629850746
Hacky sack,236,281,327,372,0.823235629850746
Handball,708,844,981,1117,2.47106089552239
"Handball, team",472,563,654,745,1.64782526567164
"Hockey, field hockey",472,563,654,745,1.64782526567164
"Hockey, ice hockey",472,563,654,745,1.64782526567164
"Riding a horse, general",236,281,327,372,0.823235629850746
"Horesback riding, saddling horse",207,246,286,326,0.721008179104478
"Horseback riding, grooming horse",207,246,286,326,0.721008179104478
"Horseback riding, trotting",384,457,531,605,1.33843490149254
"Horseback riding, walking",148,176,204,233,0.515199271641791
"Horse racing, galloping",472,563,654,745,1.64782526567164
"Horse grooming, moderate",354,422,490,558,1.23485344477612
Horseshoe pitching,177,211,245,279,0.61742672238806
Jai alai,708,844,981,1117,2.47106089552239
"Martial arts, judo, karate, jujitsu",590,704,817,931,2.05944308059702
"Martial arts, kick boxing",590,704,817,931,2.05944308059702
"Martial arts, tae kwan do",590,704,817,931,2.05944308059702
Krav maga training,590,704,817,931,2.05944308059702
Juggling,236,281,327,372,0.823235629850746
Kickball,413,493,572,651,1.44133935522388
Lacrosse,472,563,654,745,1.64782526567164
Orienteering,531,633,735,838,1.85295717014925
Playing paddleball,354,422,490,558,1.23485344477612
"Paddleball, competitive",590,704,817,931,2.05944308059702
Polo,472,563,654,745,1.64782526567164
"Racquetball, competitive",590,704,817,931,2.05944308059702
Playing racquetball,413,493,572,651,1.44133935522388
"Rock climbing, ascending rock",649,774,899,1024,2.2652519880597
"Rock climbing, rappelling",472,563,654,745,1.64782526567164
"Jumping rope, fast",708,844,981,1117,2.47106089552239
"Jumping rope, moderate",590,704,817,931,2.05944308059702
"Jumping rope, slow",472,563,654,745,1.64782526567164
Rugby,590,704,817,931,2.05944308059702
"Shuffleboard, lawn bowling",177,211,245,279,0.61742672238806
Skateboarding,295,352,409,465,1.02972154029851
Roller skating,413,493,572,651,1.44133935522388
"Roller blading, in-line skating",708,844,981,1117,2.47106089552239
Sky diving,177,211,245,279,0.61742672238806
"Soccer, competitive",590,704,817,931,2.05944308059702
Playing soccer,413,493,572,651,1.44133935522388
Softball or baseball,295,352,409,465,1.02972154029851
"Softball, officiating",236,281,327,372,0.823235629850746
"Softball, pitching",354,422,490,558,1.23485344477612
Squash,708,844,981,1117,2.47106089552239
"Table tennis, ping pong",236,281,327,372,0.823235629850746
Tai chi,236,281,327,372,0.823235629850746
Playing tennis,413,493,572,651,1.44133935522388
"Tennis, doubles",354,422,490,558,1.23485344477612
"Tennis, singles",472,563,654,745,1.64782526567164
Trampoline,207,246,286,326,0.721008179104478
"Volleyball, competitive",472,563,654,745,1.64782526567164
Playing volleyball,177,211,245,279,0.61742672238806
"Volleyball, beach",472,563,654,745,1.64782526567164
Wrestling,354,422,490,558,1.23485344477612
Wallyball,413,493,572,651,1.44133935522388
"Backpacking, Hiking with pack",413,493,572,651,1.44133935522388
"Carrying infant, level ground",207,246,286,326,0.721008179104478
"Carrying infant, upstairs",295,352,409,465,1.02972154029851
"Carrying 16 to 24 lbs, upstairs",354,422,490,558,1.23485344477612
"Carrying 25 to 49 lbs, upstairs",472,563,654,745,1.64782526567164
"Standing, playing with children, light",165,197,229,261,0.576806543283582
"Walk/run, playing with children, moderate",236,281,327,372,0.823235629850746
"Walk/run, playing with children, vigorous",295,352,409,465,1.02972154029851
Carrying small children,177,211,245,279,0.61742672238806
"Loading, unloading car",177,211,245,279,0.61742672238806
"Climbing hills, carrying up to 9 lbs",413,493,572,651,1.44133935522388
"Climbing hills, carrying 10 to 20 lb",443,528,613,698,1.5449208119403
"Climbing hills, carrying 21 to 42 lb",472,563,654,745,1.64782526567164
"Climbing hills, carrying over 42 lb",531,633,735,838,1.85295717014925
Walking downstairs,177,211,245,279,0.61742672238806
"Hiking, cross country",354,422,490,558,1.23485344477612
Bird watching,148,176,204,233,0.515199271641791
"Marching, rapidly, military",384,457,531,605,1.33843490149254
"Children's games, hopscotch, dodgeball",295,352,409,465,1.02972154029851
Pushing stroller or walking with children,148,176,204,233,0.515199271641791
Pushing a wheelchair,236,281,327,372,0.823235629850746
Race walking,384,457,531,605,1.33843490149254
"Rock climbing, mountain climbing",472,563,654,745,1.64782526567164
Walking using crutches,295,352,409,465,1.02972154029851
Walking the dog,177,211,245,279,0.61742672238806
"Walking, under 2.0 mph, very slow",118,141,163,186,0.411617814925373
"Walking 2.0 mph, slow",148,176,204,233,0.515199271641791
Walking 2.5 mph,177,211,245,279,0.61742672238806
"Walking 3.0 mph, moderate",195,232,270,307,0.679710997014925
"Walking 3.5 mph, brisk pace",224,267,311,354,0.782615450746269
"Walking 3.5 mph, uphill",354,422,490,558,1.23485344477612
"Walking 4.0 mph, very brisk",295,352,409,465,1.02972154029851
Walking 4.5 mph,372,443,515,586,1.29713771940299
Walking 5.0 mph,472,563,654,745,1.64782526567164
"Boating, power, speed boat",148,176,204,233,0.515199271641791
"Canoeing, camping trip",236,281,327,372,0.823235629850746
"Canoeing, rowing, light",177,211,245,279,0.61742672238806
"Canoeing, rowing, moderate",413,493,572,651,1.44133935522388
"Canoeing, rowing, vigorous",708,844,981,1117,2.47106089552239
"Crew, sculling, rowing, competition",708,844,981,1117,2.47106089552239
Kayaking,295,352,409,465,1.02972154029851
Paddle boat,236,281,327,372,0.823235629850746
"Windsurfing, sailing",177,211,245,279,0.61742672238806
"Sailing, competition",295,352,409,465,1.02972154029851
"Sailing, yachting, ocean sailing",177,211,245,279,0.61742672238806
"Skiing, water skiing",354,422,490,558,1.23485344477612
Ski mobiling,413,493,572,651,1.44133935522388
"Skin diving, fast",944,1126,1308,1489,3.29497352835821
"Skin diving, moderate",738,880,1022,1163,2.57464235223881
"Skin diving, scuba diving",413,493,572,651,1.44133935522388
Snorkeling,295,352,409,465,1.02972154029851
"Surfing, body surfing or board surfing",177,211,245,279,0.61742672238806
"Whitewater rafting, kayaking, canoeing",295,352,409,465,1.02972154029851
"Swimming laps, freestyle, fast",590,704,817,931,2.05944308059702
"Swimming laps, freestyle, slow",413,493,572,651,1.44133935522388
Swimming backstroke,413,493,572,651,1.44133935522388
Swimming breaststroke,590,704,817,931,2.05944308059702
Swimming butterfly,649,774,899,1024,2.2652519880597
"Swimming leisurely, not laps",354,422,490,558,1.23485344477612
Swimming sidestroke,472,563,654,745,1.64782526567164
Swimming synchronized,472,563,654,745,1.64782526567164
"Swimming, treading water, fast, vigorous",590,704,817,931,2.05944308059702
"Swimming, treading water, moderate",236,281,327,372,0.823235629850746
"Water aerobics, water calisthenics",236,281,327,372,0.823235629850746
Water polo,590,704,817,931,2.05944308059702
Water volleyball,177,211,245,279,0.61742672238806
Water jogging,472,563,654,745,1.64782526567164
"Diving, springboard or platform",177,211,245,279,0.61742672238806
"Ice skating, < 9 mph",325,387,449,512,1.13262599402985
"Ice skating, average speed",413,493,572,651,1.44133935522388
"Ice skating, rapidly",531,633,735,838,1.85295717014925
"Speed skating, ice, competitive",885,1056,1226,1396,3.08916462089552
"Cross country snow skiing, slow",413,493,572,651,1.44133935522388
"Cross country skiing, moderate",472,563,654,745,1.64782526567164
"Cross country skiing, vigorous",531,633,735,838,1.85295717014925
"Cross country skiing, racing",826,985,1144,1303,2.88267871044776
"Cross country skiing, uphill",974,1161,1348,1536,3.39787798208955
"Snow skiing, downhill skiing, light",295,352,409,465,1.02972154029851
"Downhill snow skiing, moderate",354,422,490,558,1.23485344477612
"Downhill snow skiing, racing",472,563,654,745,1.64782526567164
"Sledding, tobagganing, luge",413,493,572,651,1.44133935522388
Snow shoeing,472,563,654,745,1.64782526567164
Snowmobiling,207,246,286,326,0.721008179104478
General housework,207,246,286,326,0.721008179104478
Cleaning gutters,295,352,409,465,1.02972154029851
Painting,266,317,368,419,0.927494089552239
"Sit, playing with animals",148,176,204,233,0.515199271641791
"Walk / run, playing with animals",236,281,327,372,0.823235629850746
Bathing dog,207,246,286,326,0.721008179104478
"Mowing lawn, walk, power mower",325,387,449,512,1.13262599402985
"Mowing lawn, riding mower",148,176,204,233,0.515199271641791
"Walking, snow blower",207,246,286,326,0.721008179104478
"Riding, snow blower",177,211,245,279,0.61742672238806
Shoveling snow by hand,354,422,490,558,1.23485344477612
Raking lawn,254,303,351,400,0.885519904477612
"Gardening, general",236,281,327,372,0.823235629850746
"Bagging grass, leaves",236,281,327,372,0.823235629850746
Watering lawn or garden,89,106,123,140,0.310067367164179
"Weeding, cultivating garden",266,317,368,419,0.927494089552239
"Carpentry, general",207,246,286,326,0.721008179104478
Carrying heavy loads,472,563,654,745,1.64782526567164
Carrying moderate loads upstairs,472,563,654,745,1.64782526567164
General cleaning,207,246,286,326,0.721008179104478
"Cleaning, dusting",148,176,204,233,0.515199271641791
Taking out trash,177,211,245,279,0.61742672238806
"Walking, pushing a wheelchair",236,281,327,372,0.823235629850746
"Teach physical education,exercise class",236,281,327,372,0.823235629850746
