id,is_deleted
2353903565,False
2353090146,False
1714014519,False
2353081236,False
2353090027,False
2353090067,False
2353082624,False
2353074904,False
2353083432,False
2353903742,False
2353091320,False
2354002878,False
2354004020,False
2609221877,False
2353160757,False
2353090044,False
2353074604,False
2353082601,False
2353090896,False
2353880921,False
2353162353,False
2353162327,False
2353076152,False
2353857607,False
2353081740,False
2353089911,False
2353081346,False
2354002853,False
2353082665,False
2928664627,False
1714666930,False
3023743689,False
2353090573,False
2353076438,False
2353091210,False
3058699192,False
2353080884,False
1714669103,False
2842711247,False
2353089818,False
2353083134,False
2353083456,False
2353091214,False
2354004007,False
2859583448,False
2353081451,False
1714669158,False
2353160704,False
2697164402,False
2353081748,False
2353083317,False
2353377966,False
3092326537,False
2353089987,False
2353081235,False
2354003947,False
3059382475,False
2353076477,False
2353091188,False
2353880913,False
3091763982,False
1714669153,False
2353083635,False
2353903767,False
2353161202,False
2353089980,False
2493800096,False
2353881196,False
2488788969,False
2353081933,False
2354003472,False
2353081256,False
2353378168,False
2353090773,False
2353074488,False
2353162309,False
2353083152,False
2353090649,False
2353083205,False
2353070893,False
2353881918,False
2353857401,False
2353881157,False
2353083461,False
2353064402,False
2528042160,False
2353090768,False
2353074547,False
2353161205,False
2353076423,False
2353160792,False
2354003895,False
2519088032,False
1714023000,False
2353090076,False
1715221982,False
2970019339,False
2613711843,False
2545069241,False
2509525676,False