deal_id,owner_id,deal_pipeline_id,deal_pipeline_stage_id,is_deleted
1105125948,,,,False
1078129009,,,,False
1078777539,,,,False
1075671446,,,,False
1956207094,,,,False
1077595021,,,,False
956076349,,,,False
1084839389,,,,False
1244495215,,,,False
1078138977,,,,False
956082547,,,,False
1077598754,,,,False
1076722161,,,,False
1078239920,,,,False
1157123597,,,,False
956090172,,,,False
1077687691,,,,False
1077836456,,,,False
1076737030,,,,False
1077712176,,,,False
1174418560,,,,False
1077731317,,,,False
1124536815,,,,False
1388085811,,,,False
1077721597,,,,False
1969418007,,,,False
1106555947,,,,False
1678108660,,,,False
1999199011,,,,False
1177438702,,,,False
1076920020,,,,False
1177524855,,,,False
1105133912,,,,False
1077659220,,,,False
2266336287,35252170,,,False
1915568724,35252170,,,False
1348398344,35252170,,,False
2365566196,35252170,,,False
1260142865,35252170,,,False
1565004294,35252170,,,False
2325157681,35252170,,,False
1957317823,35252170,,,False
1806318738,35252170,,,False
2382202760,35252170,,,False
2069431145,35252170,,,False
1521493450,37790786,,,False
1444227049,40706000,,,False
1438355126,40706000,,,False
1084630520,,default,b768209,False
1084635489,,default,b768209,False
1084648788,,default,b768209,False
1084656359,,default,b768209,False
1084622984,,default,b768209,False
1084622983,,default,b768209,False
1084656357,,default,b768209,False
1084641513,,default,b768209,False
1084648787,,default,b768209,False
1084630522,,default,b768209,False
1084656356,,default,b768209,False
1084630526,,default,b768209,False
1084630534,,default,b768209,False
1084648791,,default,b768209,False
1084635493,,default,b768209,False
1084622986,,default,b768209,False
1084648803,,default,b768209,False
1084641511,,default,b768209,False
1084656360,,default,b768209,False
1084641526,,default,b768209,False
1084622991,,default,b768209,False
1084656358,,default,b768209,False
1084635492,,default,b768209,False
1084656361,,default,b768209,False
1084656354,,default,b768209,False
1084630525,,default,b768209,False
1084622990,,default,b768209,False
1084648801,,default,b768209,False
1084635491,,default,b768209,False
1084641515,,default,b768209,False
1084622989,,default,b768209,False
1084630524,,default,b768209,False
1084648789,,default,b768209,False
1084622987,,default,b768209,False
1084635488,,default,b768209,False
1084641517,,default,b768209,False
1084635486,,default,b768209,False
1084635499,,default,b768209,False
1084656362,,default,b768209,False
1084656355,,default,b768209,False
1084622985,,default,b768209,False
1084641509,,default,b768209,False
1084630528,,default,b768209,False
1084622988,,default,b768209,False
1084635494,,default,b768209,False
1084641512,,default,b768209,False
1084648790,,default,b768209,False
1084630521,,default,b768209,False
1084641510,,default,b768209,False
1084635490,,default,b768209,False
1084630523,,default,b768209,False
1084630527,,default,b768209,False